#####################################################################################
## (c) Copyright by Pierre Auger Collaboration 2017    ##
##           ##
## List of Auger events with 4 EeV < E < 8 EeV, zenith < 80 deg,    ##
## observation time from Jan 1 2004 up to 31 August 2016    ##
##           ##
##           ##
## Publications using or referring to these data should cite the following ## 
## reference:         ##
##           ## 	
## The Pierre Auger Collaboration (Alexander Aab et al.):    ##
## Observation of a Large-scale Anisotropy in the Arrival Directions of  ##
## Cosmic Rays above 8×10^18 eV, Science 357 (2017) 1266-1270   ##
##           ##
## Data are provided as is and might be subject to future changes.  ##
##           ##
## These data are released under the Creative Commons Attribution-ShareAlike 4.0 ##
## International License (CC BY-SA 4.0). For more details see   ##
## http://creativecommons.org/licenses/by-sa/4.0/     ##
##           ##
#####################################################################################
##
## Columns: 
#
# (1) year
# (2) day
# (3) declination (deg.)
# (4) right ascention (deg.)
# (5) local azimuth (deg.)
# (6) weight
#
# year day dec RA azimuth weight 
 
 
2004 1 -11.7 270.6 69.2 1.0032
2004 1 5.6 340.5 100.8 0.9984
2004 1 -41.7 231.6 -26.9 0.9998
2004 2 -15.0 185.3 174.4 1.0005
2004 3 28.6 292.0 62.7 1.0016
2004 3 11.6 6.7 68.1 1.0004
2004 3 -59.7 272.8 -123.7 1.0010
2004 4 -82.5 228.1 -89.2 1.0011
2004 4 -18.6 53.9 1.6 0.9981
2004 5 18.4 113.9 92.3 1.0009
2004 6 -15.1 286.6 61.5 0.9977
2004 6 -16.7 319.3 140.5 1.0075
2004 6 -61.7 258.5 -56.1 0.9942
2004 7 1.3 64.3 67.5 1.0039
2004 7 -50.8 243.4 -44.1 0.9974
2004 9 -67.5 212.6 -79.9 0.9981
2004 9 -36.7 43.1 -166.0 1.0010
2004 9 -6.5 173.9 101.7 0.9992
2004 10 -37.0 166.8 -17.0 0.9963
2004 11 -8.9 162.0 80.4 0.9950
2004 13 -38.3 215.6 -164.0 0.9973
2004 13 31.6 309.0 70.3 0.9998
2004 13 -46.5 280.9 -147.0 1.0019
2004 14 -56.9 214.1 -122.7 0.9990
2004 14 -37.1 260.9 -155.6 1.0051
2004 14 -20.8 142.4 162.6 1.0038
2004 16 -48.3 241.8 -140.6 1.0036
2004 17 -17.7 320.4 7.5 0.9959
2004 17 36.9 158.2 104.4 1.0045
2004 18 8.4 287.5 69.8 0.9985
2004 18 -11.7 202.8 137.9 1.0041
2004 19 -31.3 78.7 -12.0 0.9997
2004 20 -23.4 322.0 106.8 1.0026
2004 21 5.5 101.3 61.3 0.9998
2004 21 -15.3 259.6 31.4 0.9997
2004 22 -21.4 212.2 168.8 1.0041
2004 22 -37.7 112.9 -24.7 0.9970
2004 23 -22.5 153.5 -9.9 0.9908
2004 25 -8.0 187.4 174.5 1.0100
2004 27 -56.2 118.4 -46.9 0.9987
2004 29 -23.0 341.8 31.8 0.9980
2004 29 -64.9 53.2 -86.1 1.0054
2004 29 -40.8 199.5 -138.5 1.0007
2004 29 -23.6 242.5 41.6 0.9992
2004 30 -42.5 287.8 -134.3 1.0004
2004 31 -76.4 56.0 -76.7 0.9945
2004 31 -44.2 65.0 -124.0 0.9974
2004 33 -52.0 229.4 -138.0 0.9980
2004 34 21.0 344.5 73.8 1.0014
2004 34 -29.1 302.7 175.5 1.0038
2004 34 11.4 82.7 124.8 0.9979
2004 34 -68.1 111.3 -107.7 0.9972
2004 35 -60.9 244.9 -124.3 1.0028
2004 35 -10.0 71.0 31.9 1.0006
2004 36 -54.7 279.6 -130.0 1.0014
2004 36 0.8 297.2 167.6 1.0081
2004 36 5.4 103.1 118.2 0.9990
2004 36 -43.4 177.8 -27.3 0.9973
2004 36 -61.4 163.8 -125.6 1.0001
2004 37 -56.4 74.8 -56.5 1.0026
2004 37 17.4 275.7 50.5 1.0004
2004 38 -2.5 271.2 80.8 1.0036
2004 38 -36.4 117.0 -9.5 0.9993
2004 38 -24.9 196.9 173.3 1.0015
2004 38 -34.9 199.5 -169.6 1.0027
2004 39 -36.4 17.0 -158.9 0.9986
2004 40 -62.5 348.4 -111.5 0.9995
2004 40 -67.8 65.6 -117.5 0.9959
2004 40 -62.2 200.6 -114.5 0.9993
2004 41 -64.5 43.9 -58.3 0.9953
2004 42 21.9 292.6 120.2 1.0063
2004 42 -40.5 111.1 -39.8 0.9976
2004 43 -47.5 252.1 -133.1 1.0039
2004 43 -54.6 5.6 -107.3 1.0002
2004 43 -74.5 9.0 -91.6 0.9952
2004 44 -37.4 27.2 -13.9 0.9959
2004 44 -54.5 132.3 -48.3 0.9967
2004 45 -64.9 320.5 -121.0 1.0028
2004 45 -1.4 86.5 34.3 1.0044
2004 45 -61.3 146.1 -69.5 0.9984
2004 45 -29.4 328.6 -24.6 0.9909
2004 46 -45.1 37.8 -149.6 1.0027
2004 47 18.7 176.2 34.3 0.9930
2004 47 2.9 110.4 110.2 0.9990
2004 48 -50.8 322.6 -86.5 0.9992
2004 48 -6.1 317.4 113.2 1.0033
2004 48 -30.2 151.6 177.1 1.0029
2004 48 -39.9 227.9 -20.7 1.0000
2004 49 -35.6 347.1 -5.1 0.9963
2004 49 -41.0 6.2 -157.6 1.0026
2004 49 -52.8 174.9 -46.8 0.9978
2004 49 21.1 211.9 84.7 1.0025
2004 49 -22.5 281.3 1.5 0.9968
2004 49 -53.8 260.6 -58.4 0.9979
2004 50 15.5 37.0 74.8 1.0029
2004 50 -12.2 192.8 135.6 1.0051
2004 51 -80.8 23.8 -81.8 0.9986
2004 52 -23.6 62.9 2.1 0.9991
2004 52 -40.7 114.8 -21.5 0.9969
2004 53 -63.0 132.1 -59.0 0.9956
2004 54 -38.2 18.9 -26.6 0.9928
2004 54 -61.6 158.5 -64.8 0.9965
2004 54 -44.8 62.9 -35.0 1.0009
2004 54 4.6 114.5 149.3 1.0022
2004 55 -29.8 172.5 -26.2 0.9878
2004 55 -36.2 177.3 -27.8 0.9975
2004 56 -64.3 80.5 -64.2 1.0022
2004 56 -73.5 194.8 -99.4 1.0006
2004 56 -15.0 165.6 175.0 1.0066
2004 57 25.9 86.3 60.7 1.0037
2004 57 -70.6 65.7 -96.9 0.9981
2004 57 3.9 59.7 129.6 1.0007
2004 57 -68.2 310.5 -83.2 0.9913
2004 57 31.2 187.0 72.6 1.0036
2004 58 -22.7 39.5 44.0 1.0010
2004 59 -35.9 238.8 -171.3 1.0038
2004 60 -24.1 98.4 15.6 0.9976
2004 62 -69.5 160.9 -82.0 0.9957
2004 62 -5.6 219.7 89.5 1.0011
2004 63 -75.7 206.4 -79.3 1.0001
2004 64 -73.2 168.7 -88.2 1.0005
2004 65 -57.3 0.1 -48.5 0.9923
2004 68 -82.0 270.8 -95.2 1.0027
2004 68 -79.9 91.0 -98.8 0.9983
2004 69 -55.1 186.3 -83.8 0.9985
2004 69 -49.0 208.7 -113.5 1.0003
2004 70 -27.5 110.1 -4.2 0.9999
2004 70 -64.6 115.3 -120.4 0.9998
2004 71 -70.4 81.1 -114.1 1.0005
2004 72 -6.3 330.8 49.9 0.9981
2004 72 8.6 42.0 34.8 0.9966
2004 72 -18.4 54.1 4.7 0.9961
2004 72 0.5 154.2 16.8 0.9914
2004 74 22.7 39.5 76.4 1.0015
2004 75 6.9 155.3 67.1 0.9974
2004 76 -9.9 356.1 102.0 0.9984
2004 76 -70.2 144.8 -108.3 1.0011
2004 77 -30.4 246.3 -167.7 1.0056
2004 78 -57.0 244.7 -131.7 0.9996
2004 78 -69.9 63.2 -72.4 0.9976
2004 78 19.2 96.7 140.8 1.0082
2004 79 -29.1 107.8 170.5 0.9981
2004 79 13.4 91.4 155.1 1.0144
2004 80 21.8 26.8 84.0 1.0040
2004 80 -14.0 219.9 36.9 1.0005
2004 81 -18.3 65.8 11.2 1.0000
2004 81 9.5 0.5 131.9 1.0059
2004 81 -80.0 109.0 -83.4 0.9945
2004 81 -71.6 103.4 -107.3 1.0013
2004 81 -27.9 275.2 7.5 0.9953
2004 82 -5.9 248.4 157.6 1.0052
2004 83 -39.2 52.1 -57.2 1.0062
2004 83 -42.0 134.8 -25.9 0.9971
2004 83 -65.5 149.2 -120.3 0.9999
2004 84 19.0 316.3 103.4 1.0017
2004 85 -33.4 23.5 -168.3 1.0028
2004 85 10.4 111.7 132.4 1.0053
2004 85 -3.2 276.5 24.4 0.9986
2004 86 18.3 0.5 97.5 1.0021
2004 86 -22.4 79.0 119.0 0.9984
2004 86 -19.4 286.4 -0.3 0.9987
2004 87 -44.0 33.8 -28.1 0.9964
2004 87 -43.1 113.4 -26.3 0.9974
2004 87 -52.6 131.6 -56.3 0.9960
2004 87 -34.9 256.3 12.2 1.0018
2004 87 26.5 248.5 125.8 1.0073
2004 87 -15.2 320.4 30.8 0.9998
2004 88 -19.9 222.2 26.1 1.0027
2004 88 -44.3 203.7 -151.2 1.0035
2004 89 -52.4 114.0 -48.9 0.9932
2004 89 -48.4 66.1 -140.2 1.0055
2004 90 -14.7 329.8 144.0 1.0034
2004 90 -48.1 103.6 -143.8 0.9968
2004 90 -38.2 98.8 -159.5 0.9982
2004 90 -6.8 247.1 33.9 0.9977
2004 91 14.2 319.9 141.8 1.0067
2004 91 1.7 125.3 52.9 0.9963
2004 92 10.9 337.2 89.9 1.0011
2004 92 -13.8 25.0 170.1 1.0027
2004 92 -65.8 102.3 -82.7 1.0036
2004 92 -18.5 79.1 145.6 1.0023
2004 93 -9.0 282.2 162.9 1.0036
2004 93 -63.9 296.8 -122.6 1.0008
2004 93 -40.6 307.2 -27.8 0.9973
2004 93 -43.0 306.0 -62.9 0.9996
2004 94 35.8 46.7 89.3 1.0083
2004 94 -75.5 222.3 -81.7 1.0023
2004 95 27.1 173.7 100.3 1.0029
2004 96 -65.0 341.9 -119.8 1.0013
2004 96 -35.5 108.6 -11.9 0.9958
2004 96 -14.5 15.6 -175.4 1.0117
2004 96 -33.2 196.4 -20.6 0.9922
2004 96 9.2 98.5 153.0 1.0090
2004 96 -82.0 4.7 -82.9 0.9968
2004 97 -17.2 187.6 12.3 0.9939
2004 97 -1.1 305.9 7.3 0.9901
2004 98 -32.3 280.1 -156.6 1.0040
2004 98 -37.8 47.7 -147.6 1.0064
2004 98 22.6 91.0 116.0 1.0010
2004 98 -16.7 189.2 4.1 0.9967
2004 98 -78.7 93.6 -103.8 0.9974
2004 98 -8.5 241.4 31.6 1.0000
2004 98 -25.4 325.0 0.3 0.9972
2004 99 -68.2 82.8 -115.6 0.9951
2004 99 -18.4 203.3 1.6 0.9953
2004 99 -8.3 137.3 175.0 1.0091
2004 100 -78.0 151.7 -76.4 1.0023
2004 100 -34.2 206.4 37.3 1.0010
2004 100 -70.0 165.2 -113.0 1.0000
2004 100 -36.0 305.9 -7.6 0.9959
