#####################################################################################
## (c) Copyright by Pierre Auger Collaboration 2017    ##
##           ##
## List of Auger events with E > 8 EeV, zenith < 80 deg,    ##
## observation time from Jan 1 2004 up to 31 August 2016    ##
##           ##
##           ##
## Publications using or referring to these data should cite the following ## 
## reference:         ##
##           ## 	
## The Pierre Auger Collaboration (Alexander Aab et al.):    ##
## Observation of a Large-scale Anisotropy in the Arrival Directions of  ##
## Cosmic Rays above 8×10^18 eV, Science 357 (2017) 1266-1270   ##
##           ##
## Data are provided as is and might be subject to future changes.  ##
##           ##
## These data are released under the Creative Commons Attribution-ShareAlike 4.0 ##
## International License (CC BY-SA 4.0). For more details see   ##
## http://creativecommons.org/licenses/by-sa/4.0/     ##
##           ##
#####################################################################################
##
## Columns: 
#
# (1) year
# (2) day
# (3) declination (deg.)
# (4) right ascention (deg.)
# (5) local azimuth (deg.)
# (6) weight
# (7) UTC arrival time 
#
# year day dec RA azimuth weight UTC
2004 1 -11.8 208.9 164.7 1.0040 1072969615
2004 2 -70.4 36.6 -111.6 1.0001 1073113742
2004 3 -47.8 334.7 -143.8 0.9973 1073169046
2004 3 -22.1 87.2 -162.8 1.0080 1073207917
2004 7 -5.8 178.6 162.7 1.0046 1073480592
2004 9 3.4 60.5 82.9 1.0072 1073696725
2004 12 3.6 248.3 126.3 1.0007 1073921079
2004 13 -27.2 301.8 11.6 0.9977 1074007543
2004 13 -30.0 177.9 4.2 0.9998 1074063648
2004 14 16.5 273.7 145.0 1.0059 1074106301
2004 15 -32.4 33.2 -3.8 0.9977 1074200176
2004 15 -76.5 60.2 -104.1 0.9985 1074241719
2004 17 -7.8 319.7 38.6 0.9960 1074355940
2004 17 4.1 151.1 125.3 1.0004 1074414670
2004 18 14.0 56.8 85.9 1.0078 1074471638
2004 18 -15.4 144.8 164.8 1.0019 1074504022
2004 19 -30.9 295.9 -13.9 0.9963 1074514681
2004 19 -59.0 58.3 -51.1 0.9974 1074545158
2004 20 2.2 357.0 113.2 0.9986 1074633928
2004 22 -17.9 16.5 21.6 0.9996 1074799370
2004 22 -18.6 195.7 20.2 0.9956 1074842196
2004 31 13.3 308.8 124.0 1.0034 1075573445
2004 32 -57.0 75.7 -130.7 0.9972 1075701764
2004 32 -11.5 201.4 92.3 1.0028 1075713534
2004 33 -6.2 78.5 19.5 0.9973 1075757845
2004 36 -37.3 197.1 -154.5 1.0022 1076058222
2004 38 5.5 348.6 58.1 1.0020 1076173988
2004 39 -45.4 217.7 -138.1 1.0014 1076256955
2004 39 5.2 283.4 37.4 1.0006 1076326141
2004 41 -31.5 217.7 -176.8 1.0034 1076415198
2004 42 -55.5 205.7 -123.0 1.0007 1076582119
2004 44 12.3 48.4 137.0 1.0010 1076720203
2004 45 7.7 74.7 47.0 0.9991 1076795067
2004 45 -53.9 187.1 -55.7 0.9955 1076824356
2004 48 -70.0 333.1 -110.8 1.0002 1077047867
2004 49 8.4 121.4 139.3 1.0016 1077168671
2004 50 -80.7 21.3 -99.5 0.9998 1077233404
2004 51 -21.7 200.2 82.2 0.9997 1077349666
2004 53 -40.0 112.7 -24.5 1.0031 1077487202
2004 53 34.1 187.0 91.7 1.0027 1077519447
2004 54 -13.7 18.1 -2.0 0.9937 1077547169
2004 55 6.8 222.0 151.8 1.0072 1077626510
2004 57 -31.1 162.6 -173.6 1.0031 1077868672
2004 58 -36.1 8.9 -26.4 0.9909 1077888188
2004 58 -10.5 120.9 164.8 1.0029 1077946524
2004 60 40.4 181.3 94.3 1.0090 1078122105
2004 61 -39.2 46.0 -144.5 1.0008 1078197159
2004 62 -41.2 125.7 -38.0 0.9906 1078256802
2004 63 26.7 338.1 72.1 1.0018 1078326309
2004 63 -44.2 194.4 -151.2 1.0019 1078391373
2004 64 -1.7 2.8 39.7 1.0007 1078414999
2004 70 -4.6 41.1 163.9 1.0055 1078962662
2004 74 -24.9 80.7 55.1 0.9973 1079301429
2004 74 -57.4 235.6 -53.9 1.0022 1079331778
2004 76 -33.0 74.0 -10.1 0.9979 1079462979
2004 77 -23.7 198.3 52.8 0.9990 1079587684
2004 78 -12.6 118.4 6.4 1.0014 1079642373
2004 81 -67.2 79.7 -73.9 1.0047 1079900561
2004 81 18.1 166.8 91.7 1.0026 1079927393
2004 84 -29.2 319.8 176.3 0.9983 1080143800
2004 85 -33.3 180.8 -32.0 0.9867 1080251281
2004 85 22.0 267.1 45.8 1.0024 1080284525
2004 86 -48.3 274.5 -130.2 1.0007 1080323504
2004 88 -81.5 264.8 -86.4 1.0008 1080549342
2004 89 -34.4 321.8 171.8 0.9989 1080568944
2004 89 -2.2 11.3 40.5 1.0027 1080571426
2004 89 -19.1 359.1 52.3 0.9998 1080573207
2004 90 -52.0 298.0 -56.2 0.9972 1080729288
2004 93 -13.3 296.4 -175.6 1.0066 1080924329
2004 94 16.9 264.4 86.6 1.0030 1081069904
2004 95 -31.6 137.5 147.8 0.9992 1081127947
2004 96 -12.9 32.7 106.6 1.0030 1081189023
2004 96 -67.3 213.3 -84.0 0.9984 1081190915
2004 96 -36.7 10.6 -161.4 1.0013 1081195290
2004 97 -23.7 209.0 78.2 1.0015 1081315167
2004 98 13.4 43.1 76.7 1.0052 1081359771
2004 99 4.6 13.0 46.3 1.0051 1081433501
2004 99 -48.0 95.5 -35.3 0.9983 1081446681
2004 99 -12.8 159.0 29.9 0.9944 1081468497
2004 102 -5.9 43.0 29.6 0.9956 1081697410
2004 107 -46.1 329.5 -140.4 1.0006 1082125397
2004 108 -24.0 207.3 145.7 1.0037 1082267124
2004 109 -41.8 50.6 -148.4 0.9979 1082330316
2004 109 -72.8 340.6 -99.0 0.9967 1082330748
2004 109 -20.1 221.1 -178.4 1.0018 1082367419
