Run,Event,PID1,Q1,E1,px1,py1,pz1,eta1,phi1,PID2,Q2,E2,px2,py2,pz2,eta2,phi2,PID3,Q3,E3,px3,py3,pz3,eta3,phi3,PID4,Q4,E4,px4,py4,pz4,eta4,phi4
1,10126081,13,-1,6.89333,-0.0667434,-1.72742,6.67221,2.0601,-1.60941,-11,1,308.197,138.012,-102.741,-255.7,-1.18706,-0.639933,11,-1,24.595,-15.0495,-18.1713,-6.94495,-0.290258,-2.2625,-11,1,7.56234,-4.24603,-1.6422,6.0385,1.09445,-2.77255
1,2067974,-13,1,13.0852,1.53084,-11.3505,-6.3272,-0.527615,-1.43673,11,-1,300.808,-51.5663,34.6413,294.324,2.25969,2.55006,-11,1,122.569,12.9087,-39.4639,115.322,1.7456,-1.25467,11,-1,4.84726,-1.07977,-3.05102,-3.60851,-0.960371,-1.91095
1,48957136,-13,1,37.4147,-23.797,8.959,27.4461,0.936409,2.78153,13,-1,90.9613,-0.0168367,-17.3886,89.2837,2.3385,-1.57176,11,-1,12.5359,9.01077,8.62457,-1.25393,-0.100363,0.763503,-11,1,6.81029,4.80566,4.77859,-0.671365,-0.0989022,0.782573
1,11196052,13,-1,33.5683,-17.71,-28.0037,5.38241,0.161739,-2.13471,-13,1,30.2388,-0.888461,10.0302,28.5128,1.76381,1.65914,-13,1,8.17865,-0.151559,-4.75614,6.65096,1.13664,-1.60265,-11,1,89.5511,-6.73264,27.5787,84.9322,1.81584,1.81024
1,13449702,13,-1,85.8205,4.70616,42.9463,74.1527,1.30909,1.46165,-13,1,159.73,-11.2018,-31.5155,156.189,2.24552,-1.91231,-11,1,22.388,-1.48659,-4.4819,21.8843,2.23813,-1.89107,-11,1,13.7168,-2.12864,2.38687,-13.3388,-2.13532,2.29907
1,17870088,13,-1,45.0769,-32.5622,18.939,-24.7575,-0.617277,2.61479,-13,1,26.0979,15.3987,-13.7778,15.9419,0.710282,-0.7299,11,-1,10.9244,7.53774,-4.64904,6.39628,0.670793,-0.552658,-11,1,7.88362,5.46407,-3.31265,4.61755,0.671117,-0.545009
1,11380582,13,-1,97.502,-31.923,-16.0296,90.7226,1.66188,-2.67624,-13,1,33.0001,31.7319,3.2314,8.46418,0.262348,0.101485,11,-1,2.98409,2.53524,1.45259,0.60606,0.205961,0.520301,-11,1,2.77428,2.24189,1.54452,0.533834,0.194852,0.603262
1,57614436,13,-1,34.5461,0.507444,30.6593,-15.9115,-0.498057,1.55425,-13,1,101.083,-0.964793,-22.5985,-98.52,-2.17754,-1.61346,-11,1,61.8375,-2.68502,-14.9012,-59.9552,-2.0849,-1.74907,11,-1,15.149,1.12862,5.61128,-14.0261,-1.62871,1.37231
1,2264698,-13,1,52.4287,16.9542,-33.74,36.372,0.855137,-1.10515,13,-1,26.7832,-4.35161,26.3852,-1.48811,-0.0556191,1.73425,-11,1,13.6303,-3.36893,12.4545,-4.39551,-0.334415,1.83497,11,-1,2.31406,-0.459691,2.14259,-0.743553,-0.333117,1.78214
1,53038061,-13,1,27.7506,-12.4674,23.5595,-7.72005,-0.285725,2.05752,13,-1,55.8054,-3.14268,-18.3378,52.6125,1.76255,-1.74052,11,-1,20.9864,5.66596,1.77331,20.1291,1.93518,0.303318,-11,1,18.0039,4.84061,1.66279,17.2611,1.93008,0.330881
1,11297789,-13,1,42.6652,-19.1806,34.1231,16.9712,0.421007,2.08288,13,-1,49.0531,10.245,-36.8032,-30.7693,-0.736899,-1.2993,-11,1,6.73547,-0.964637,-2.83159,-6.03474,-1.45138,-1.89914,11,-1,4.9805,-0.687261,-2.11512,-4.45638,-1.44533,-1.88496
1,48731173,13,-1,13.817,3.6773,-0.0880678,-13.318,-1.99835,-0.0239445,11,-1,30.8482,6.99067,-29.3653,6.35799,0.209101,-1.33709,-11,1,38.8284,-1.71277,19.4545,-33.5594,-1.3101,1.65861,-11,1,30.8178,-16.3943,-6.61613,-25.2426,-1.15406,-2.75802
1,41607602,-13,1,39.028,13.2556,-35.6228,-8.85856,-0.231004,-1.21456,13,-1,62.5478,-19.4963,26.929,-52.9805,-1.24559,2.19744,11,-1,7.57637,1.02564,-7.493,-0.452162,-0.0597516,-1.43476,-11,1,3.81382,0.589581,-3.7606,-0.235473,-0.0618208,-1.41528
1,30111885,-13,1,75.2783,-36.6884,62.6413,19.9209,0.271081,2.10063,13,-1,34.7394,-7.99699,-23.0823,-24.6996,-0.889204,-1.90431,13,-1,8.48082,-1.33636,4.27679,7.19974,1.2526,1.87365,11,-1,23.7848,-8.02281,-0.677861,-22.3806,-1.74638,-3.0573
1,6580057,-13,1,59.0417,-16.9222,-33.1491,-45.8333,-1.03596,-2.0428,13,-1,29.7845,21.8771,17.844,-9.49173,-0.330179,0.684209,-11,1,54.8858,-3.0354,9.1189,-54.0378,-2.42776,1.89213,11,-1,14.6492,-0.0184592,3.69725,14.175,2.05361,1.57579
1,26705084,13,-1,11.4505,3.14704,3.43499,-10.4594,-1.54819,0.829119,-13,1,9.76535,2.22836,2.68265,-9.12078,-1.68923,0.877642,-11,1,101.041,23.2991,-10.2724,97.7802,2.05518,-0.415254,11,-1,19.4617,-10.0438,-5.63216,-15.6895,-1.116,-2.63052
1,67619811,-13,1,97.8805,28.2175,34.9405,-86.9685,-1.41484,0.891446,13,-1,119.794,-19.6052,-27.3821,-114.963,-1.94174,-2.19217,-11,1,10.3388,-5.33747,-3.26248,-8.23151,-1.08809,-2.59295,11,-1,4.97931,-2.60729,-1.50617,-3.96574,-1.08881,-2.61775
1,62498363,13,-1,98.5609,70.1516,4.22573,69.1024,0.869488,0.0601644,-13,1,88.8568,-18.781,22.1425,83.9792,1.78385,2.27424,-11,1,10.0043,-8.45733,-2.54594,-4.69868,-0.509642,-2.84919,11,-1,3.26824,-2.76056,-0.86573,-1.52026,-0.50388,-2.8377
1,32061615,-13,1,4.63392,-1.81817,3.44969,-2.50119,-0.60401,2.05585,11,-1,139.622,51.2893,16.1648,128.851,1.60792,0.305315,-11,1,88.3601,-38.8574,-13.6077,78.1821,1.39751,-2.80474,-11,1,5.92185,-2.26152,4.45755,-3.17554,-0.598865,2.0403
1,62788065,-13,1,68.1332,5.72077,-43.2579,-52.3274,-1.01547,-1.43931,13,-1,31.4519,3.77034,13.079,28.3537,1.48017,1.29013,13,-1,9.01739,2.26803,-0.572456,-8.70807,-2.02518,-0.247239,-11,1,28.0104,-4.59957,1.99297,-27.5582,-2.40563,2.73272
1,34072522,13,-1,41.9025,17.708,-32.1294,20.2468,0.527139,-1.06707,-13,1,137.219,-26.741,24.4845,132.342,2.00616,2.40022,13,-1,10.3739,3.41784,-0.0411032,9.79408,1.77499,-0.0120255,-11,1,11.4509,2.7642,-0.985944,-11.0684,-2.03774,-0.342616
1,24829827,13,-1,48.4591,35.6335,10.9154,30.974,0.756783,0.297248,-13,1,28.2847,-24.7878,-11.0137,-8.01729,-0.291431,-2.72347,11,-1,9.20348,-8.36777,-3.09779,-2.25569,-0.250183,-2.78703,-11,1,5.48358,-4.95139,-1.93379,-1.34678,-0.250727,-2.76926
1,37383484,13,-1,93.9461,-25.373,33.3739,84.0728,1.44604,2.22084,-13,1,190.733,35.6617,-14.7216,186.79,2.28088,-0.391502,-13,1,7.69011,-2.48558,-6.10213,3.96391,0.570198,-1.95761,13,-1,8.12635,-0.470297,-5.26334,6.17272,0.995404,-1.65991
1,48102145,11,-1,69.3211,-7.33119,45.6306,51.6673,0.962373,1.7301,-11,1,49.7545,2.2457,-44.0919,22.9429,0.498735,-1.51991,-11,1,4.42496,0.837444,-2.82372,3.30235,0.964553,-1.28249,11,-1,3.34201,0.482054,-2.17055,2.49507,0.965179,-1.35225
1,62082634,-13,1,135.483,14.8372,30.479,-131.174,-2.06259,1.11776,13,-1,23.379,3.2601,-22.9534,3.01288,0.129593,-1.42971,-11,1,17.9457,-6.80722,-2.58763,-16.4017,-1.55106,-2.77833,-11,1,2.50736,-1.76704,1.18167,-1.32969,-0.59058,2.55216
1,11660177,13,-1,90.6562,-11.0295,-39.8606,80.6723,1.42131,-1.84074,-13,1,69.8877,4.74692,15.9811,67.8701,2.11182,1.28206,-11,1,84.6523,6.20649,17.9123,82.5023,2.17674,1.23725,-11,1,46.5391,7.86559,-14.4441,43.536,1.70051,-1.07214
1,17184835,-13,1,38.1656,-4.7636,-37.521,-5.10727,-0.134627,-1.69708,13,-1,53.025,18.0468,13.3027,48.052,1.50594,0.63521,11,-1,17.8827,4.68343,4.16948,16.7473,1.70886,0.727409,-11,1,8.98467,2.32278,2.12868,8.41414,1.70879,0.74182
1,56941415,-13,1,10.3476,4.63702,1.14492,9.17877,1.40808,0.242066,13,-1,8.92572,-3.45513,2.81195,-7.73384,-1.31897,2.45847,11,-1,68.208,-5.61161,-37.3006,-56.8288,-1.19841,-1.72012,-11,1,36.9209,10.0757,35.2634,4.2575,0.115829,1.29248
1,28557072,13,-1,60.769,-17.2399,-14.3564,56.476,1.65365,-2.4472,-13,1,18.5405,2.57214,-2.31051,-18.2149,-2.36373,-0.731867,11,-1,74.563,-12.4277,-13.8867,72.1966,2.06372,-2.30081,11,-1,38.7198,-2.99807,-6.40255,38.0689,2.38524,-2.00873
1,69370808,13,-1,172.369,-10.482,-45.2432,-165.994,-1.98593,-1.79846,-13,1,47.0674,36.3371,8.07118,-28.8062,-0.712147,0.218571,-11,1,66.561,-5.12836,17.6071,-63.9848,-1.96271,1.85422,11,-1,4.62383,3.52508,0.773662,-2.89052,-0.733389,0.216048
1,52964847,-11,1,36.4231,-33.7991,-12.3073,-5.7265,-0.158536,-2.79239,11,-1,60.4184,20.5247,21.1147,-52.7569,-1.34636,0.799566,11,-1,11.6289,9.04202,-3.15986,-6.59449,-0.643209,-0.336197,-11,1,3.77702,2.97974,-0.876576,-2.14909,-0.646032,-0.286108
1,32601785,11,-1,125.048,40.2383,20.7909,116.558,1.67417,0.476914,-11,1,108.671,-16.0193,-15.7587,106.323,2.25837,-2.36439,-11,1,19.8751,-5.97519,-4.51756,18.4094,1.63138,-2.49423,11,-1,17.2404,-5.46686,-3.50748,15.97,1.63179,-2.57115
1,26484935,-13,1,80.6188,36.1202,-37.887,-61.3131,-0.997473,-0.809267,13,-1,61.5802,-32.2774,-1.78919,-52.4125,-1.26023,-3.08622,-11,1,13.1939,6.86861,5.55394,-9.80081,-0.956757,0.679961,11,-1,3.75099,1.98562,1.53858,-2.78568,-0.956368,0.659221
1,50040903,11,-1,33.3989,-29.6014,-15.116,3.27803,0.0984649,-2.66946,-11,1,65.0946,16.4008,19.7126,-59.8309,-1.58344,0.87685,-11,1,12.0271,-3.85759,-7.05855,-8.94137,-0.95811,-2.07096,11,-1,5.31159,-1.75136,-3.09187,-3.94792,-0.957735,-2.08617
1,63500672,13,-1,33.2452,3.53398,-32.963,2.48627,0.0749262,-1.46399,-13,1,59.1598,-0.56619,21.6129,-55.0675,-1.66456,1.59699,-11,1,47.1754,-0.27516,17.2757,-43.8975,-1.66223,1.58672,-11,1,13.2782,2.91189,1.95227,12.8071,2.00696,0.590617
1,30811574,13,-1,47.6787,-2.48267,-43.2864,-19.8338,-0.442831,-1.62809,-13,1,23.1169,12.2831,10.466,16.5519,0.899424,0.705689,-11,1,15.2539,-6.71982,-12.6663,-5.20487,-0.355468,-2.05857,11,-1,9.11307,-4.08549,-7.52633,-3.11629,-0.356308,-2.06812
1,15548590,-13,1,5.5923,-3.77241,-3.81107,-1.58347,-0.29116,-2.3511,13,-1,10.0235,2.56186,-3.6203,-8.98835,-1.4555,-0.954963,11,-1,47.2098,-43.4282,17.117,-7.05405,-0.150546,2.76614,-11,1,62.7972,21.386,-11.6484,57.883,1.60051,-0.498744
1,47770793,13,-1,56.8973,-28.3162,31.1577,38.2711,0.815542,2.30845,-13,1,134.278,25.0516,-29.1961,128.649,1.92198,-0.86165,-13,1,10.9128,-2.62923,0.609664,10.5732,2.0745,2.91374,11,-1,20.8642,5.66332,-2.10261,19.9705,1.91096,-0.355494
1,27759902,13,-1,40.1852,27.6073,-9.86605,27.4833,0.836441,-0.343226,-13,1,93.4024,-19.8835,4.61697,91.1445,2.20176,2.91343,11,-1,81.395,-15.5969,5.78402,79.677,2.27035,2.78647,-11,1,10.4724,7.25248,-2.48633,7.13373,0.831342,-0.330268
1,27760212,-13,1,48.1554,35.3619,16.4529,28.2449,0.672371,0.435482,13,-1,41.5814,-30.7255,20.054,-19.5649,-0.510741,2.56333,11,-1,5.92123,-4.3347,2.92579,-2.77688,-0.508749,2.54786,-11,1,2.84032,-2.1173,1.34972,-1.32768,-0.506788,2.57407
1,5461228,-13,1,49.1622,-13.0034,47.4078,0.565254,0.0114983,1.8385,13,-1,44.4566,22.8261,-38.1433,-0.663035,-0.0149153,-1.03153,-11,1,13.3924,0.172147,-13.2336,-2.04952,-0.154247,-1.55779,11,-1,8.58426,0.0444892,-8.48379,-1.30876,-0.153659,-1.56555
1,24173841,13,-1,54.298,-3.3566,33.6448,42.4856,1.05167,1.67023,-13,1,44.8049,21.6549,-0.837915,-39.2151,-1.35507,-0.0386747,-13,1,9.06372,-1.68873,-1.02331,8.84539,2.20492,-2.5968,-11,1,30.8932,4.08065,-6.32237,-29.9628,-2.09029,-0.99764
1,48695964,-11,1,49.6644,-4.75877,-27.162,41.3053,1.19359,-1.74424,11,-1,29.5852,4.91073,17.6164,-23.2558,-1.06104,1.29894,11,-1,6.13347,-0.370278,4.74483,-3.86896,-0.742737,1.64868,-11,1,5.32959,-0.532521,4.10052,-3.36253,-0.742939,1.69994
1,47771296,11,-1,35.0164,-9.53116,19.0443,27.796,1.08162,2.03482,11,-1,22.9189,3.4686,-6.66403,-21.6527,-1.7805,-1.09089,-11,1,23.47,2.45573,-6.19311,-22.5046,-1.93163,-1.19329,-11,1,17.2231,2.9751,-4.84055,-16.2589,-1.77375,-1.0197
1,68614255,13,-1,46.6525,23.9819,-39.6657,-5.28648,-0.113805,-1.027,-13,1,44.6989,-24.8084,36.6221,-6.4303,-0.144863,2.1662,13,-1,8.30739,-1.48166,2.73363,-7.70282,-1.63877,2.06748,-13,1,6.35963,-1.52637,-0.619061,-6.14171,-2.02673,-2.75629
1,4672676,13,-1,4.5697,-2.47068,-2.80101,-2.63079,-0.656242,-2.29362,11,-1,33.6366,9.00985,28.0363,16.2545,0.527202,1.25986,-11,1,78.5984,6.80438,-21.2091,-75.3762,-1.93337,-1.26035,11,-1,16.6684,5.11865,0.418214,-15.8575,-1.84582,0.0815229
1,38865710,13,-1,71.2022,-60.1828,6.26092,-37.5309,-0.586126,3.03793,-13,1,35.4667,26.4566,-10.6728,-21.0716,-0.684018,-0.383441,11,-1,10.7938,7.58719,-1.59489,-7.50978,-0.859015,-0.207191,-11,1,3.37106,2.38254,-0.466708,-2.33875,-0.855193,-0.193438
1,188064,13,-1,31.6613,18.6667,-25.0254,5.26424,0.167826,-0.929919,-13,1,69.5092,-22.9533,20.6553,-62.2737,-1.45109,2.40884,11,-1,3.25699,1.96751,-2.48408,0.752503,0.23529,-0.900923,-11,1,2.78741,1.75808,-2.06487,0.644291,0.235397,-0.865477
1,17047546,13,-1,445.74,274.598,45.1004,-348.204,-1.04839,0.162788,13,-1,182.903,-104.39,1.93652,-150.175,-1.16007,3.12304,-13,1,50.0386,17.6167,9.95542,-45.7645,-1.55488,0.514373,11,-1,63.1787,38.8938,6.08852,-49.414,-1.05084,0.155282
1,54811097,13,-1,10.0385,1.17625,-1.67153,-9.82768,-2.27413,-0.957591,-13,1,9.33839,-1.78547,-0.955912,-9.11552,-2.20955,-2.65004,11,-1,168.39,24.7428,34.632,-162.923,-2.05209,0.950437,11,-1,54.3705,-25.3761,-27.1898,-39.6601,-0.927532,-2.3217
1,56369543,13,-1,83.2875,-19.5081,-38.2034,71.3914,1.28257,-2.04292,-13,1,45.0195,20.1717,36.5032,16.9518,0.396027,1.06596,-13,1,9.08257,2.38965,0.527965,-8.74601,-1.98579,0.217445,-11,1,18.4667,-3.67444,1.9113,17.9963,2.17516,2.66195
1,54987572,-13,1,109.094,-13.6162,-89.9318,60.2365,0.62147,-1.72106,13,-1,8.92286,7.73888,1.95349,3.98746,0.480835,0.24726,-11,1,14.7972,12.5118,3.2614,7.19543,0.531165,0.254992,11,-1,11.2292,9.50633,2.40567,5.47153,0.532459,0.247856
1,25969122,-13,1,45.1452,-10.2468,4.78728,-43.7054,-2.06127,2.70453,13,-1,42.4454,-10.0874,3.61779,-41.0702,-2.05324,2.79724,11,-1,45.5198,3.22081,-38.7601,-23.6501,-0.575733,-1.48789,-11,1,60.4441,8.03434,24.5821,-54.632,-1.49283,1.2549
1,56744871,11,-1,78.8818,72.7229,-12.8882,-27.7059,-0.36685,-0.175402,11,-1,89.6142,22.6706,-43.9399,74.7398,1.20119,-1.09447,-11,1,112.917,-28.1567,27.382,105.866,1.71748,2.37014,-11,1,5.15168,1.40629,-2.47219,4.2954,1.20043,-1.0536
1,48247087,13,-1,40.4305,-17.8568,35.3512,-8.12658,-0.203776,2.03854,-13,1,110.19,-11.7951,-36.8183,-103.185,-1.70821,-1.88083,13,-1,8.84292,2.28849,2.72512,8.0946,1.56013,0.872266,-11,1,9.4688,4.16845,-2.0702,8.24599,1.33663,-0.460952
1,27370095,-13,1,115.45,-41.0008,-10.0476,107.456,1.664,-2.90127,13,-1,59.7088,37.975,9.91824,44.9963,0.981226,0.255471,-13,1,3.76273,1.95457,-2.68213,-1.76997,-0.510817,-0.941044,-11,1,12.6562,0.284721,2.07812,-12.4812,-2.4836,1.43464
1,18813018,13,-1,67.0523,45.1425,18.0442,46.1797,0.845501,0.380263,-13,1,94.2679,-28.4964,-14.7588,88.6372,1.74038,-2.66371,11,-1,24.0734,-8.17595,-0.650075,22.6332,1.73954,-3.06225,-11,1,11.214,-3.80304,-0.407544,10.5416,1.73836,-3.03484
1,16112100,-11,1,80.5607,23.9552,-10.1621,76.2424,1.79607,-0.401203,11,-1,22.08,-14.1336,10.6432,13.2094,0.690419,2.49615,-11,1,11.1751,-10.0349,2.51492,4.22603,0.397915,2.89603,11,-1,2.65505,-2.34994,0.730809,0.996511,0.394608,2.84008
1,30215267,-13,1,86.2988,-8.20164,47.451,71.6143,1.18763,1.74195,13,-1,153.314,-30.8048,-26.3282,147.862,2.00583,-2.43439,-11,1,6.96232,-0.962338,4.09818,5.54552,1.08898,1.80144,11,-1,5.58111,-0.676363,3.29871,4.45083,1.09165,1.77303
1,32565597,-13,1,58.0358,-19.1767,-15.056,52.6661,1.51304,-2.47599,13,-1,35.1574,15.1357,8.28106,-30.6327,-1.33848,0.500629,11,-1,14.794,3.23901,3.81622,-13.9214,-1.7469,0.86703,-11,1,4.37313,-1.14847,0.602755,-4.17636,-1.88579,2.65828
1,61770230,-13,1,319.169,-9.24979,-81.9291,308.336,2.02956,-1.68322,13,-1,19.5426,-1.80159,10.9299,16.0995,1.16862,1.73416,11,-1,23.7701,-3.94111,-1.44046,23.3968,2.41954,-2.79118,-11,1,4.69499,3.65619,-0.552522,-2.89308,-0.718866,-0.149985
1,54017259,-13,1,170.965,-28.5103,9.93079,-168.278,-2.41919,2.80641,13,-1,42.7123,16.2419,-4.42738,-39.2546,-1.58288,-0.266124,-11,1,7.80681,7.09843,3.09808,0.980023,0.1262,0.411525,11,-1,4.75895,4.38747,1.74435,0.595785,0.125853,0.378415
1,33965423,-13,1,214.313,-9.5181,39.0759,-210.505,-2.35734,1.80972,13,-1,93.1411,0.822992,-30.429,-88.0264,-1.78366,-1.54376,-11,1,24.7815,0.493093,-8.18435,-23.3858,-1.77065,-1.51062,11,-1,9.28306,0.00391416,-3.06272,-8.76328,-1.77364,-1.56952
1,66555492,-13,1,27.6439,-1.45658,-8.00086,-26.4204,-1.89432,-1.75088,13,-1,25.74,1.53607,-6.95102,-24.7358,-1.95876,-1.35331,11,-1,51.9087,-23.1639,25.1041,39.0862,0.979802,2.31602,-11,1,37.7901,22.8684,-14.851,-26.1644,-0.852475,-0.575961
1,16024806,13,-1,59.4117,-53.8914,12.9261,21.4095,0.377298,2.90619,-13,1,40.1577,37.1562,-15.1281,1.78517,0.0444836,-0.386653,-11,1,3.56378,3.30137,-1.30386,0.318471,0.0896022,-0.37614,11,-1,2.60971,2.37276,-1.064,0.220202,0.0845791,-0.421542
1,23923135,13,-1,60.7107,-27.1083,20.9639,-50.1141,-1.17372,2.48332,-13,1,35.4363,27.1927,-7.96141,21.2813,0.694012,-0.284817,13,-1,14.8611,-0.634925,13.6282,5.89165,0.419439,1.61735,-11,1,3.84833,-0.490324,3.40883,1.71729,0.480001,1.71366
1,24713463,13,-1,60.2286,-38.5656,29.8852,35.3135,0.672047,2.48233,-13,1,40.9889,29.5228,-20.4966,19.7072,0.524018,-0.606866,-13,1,9.01693,3.26785,-0.75004,-8.36974,-1.64587,-0.225614,11,-1,21.1201,2.53137,-2.65817,-20.7987,-2.43536,-0.809826
1,51739494,13,-1,144.473,14.6008,21.6524,142.093,2.39544,0.977509,-13,1,20.2392,-11.1355,-16.8986,-0.229322,-0.0113312,-2.15344,11,-1,10.7547,-0.518764,-3.96856,9.98219,1.64504,-1.70078,-11,1,9.78749,-0.11453,-3.6458,9.0824,1.6435,-1.6022
1,16258160,13,-1,76.6233,40.9448,13.4455,63.355,1.17806,0.317287,-13,1,120.187,-34.2466,-16.2078,114.058,1.82172,-2.69956,-11,1,10.5872,-3.65082,1.28228,9.85471,1.66447,2.80382,11,-1,7.133,-2.30639,1.20008,6.64229,1.66739,2.66182
1,37998579,-13,1,203.813,-10.1041,158.241,128.052,0.73857,1.63456,13,-1,8.08678,-1.71506,-1.82492,7.68851,1.84037,-2.32517,-11,1,23.9904,-4.66293,-6.11659,22.7241,1.80397,-2.22215,11,-1,5.24523,-0.492262,4.23398,3.05673,0.666637,1.68654
1,2482571,-13,1,69.2258,12.3392,-6.92854,-67.7638,-2.27009,-0.511634,13,-1,17.3896,2.40537,5.32044,16.3796,1.755,1.1462,-11,1,17.361,-11.1873,13.2445,0.910912,0.0525172,2.27219,11,-1,2.43568,-1.54295,1.88008,0.130892,0.0537912,2.25802
1,7681829,-13,1,65.8517,-45.7924,43.5781,-18.451,-0.28789,2.38097,13,-1,39.9424,23.7618,3.61719,31.9011,1.09495,0.151067,11,-1,6.46453,-4.53087,4.59426,-0.39265,-0.0608139,2.34925,-11,1,3.51389,-2.51199,2.4466,-0.226943,-0.0646744,2.36938
1,50407749,-13,1,37.7059,9.13781,34.8903,10.9949,0.300312,1.31465,13,-1,42.381,-5.38052,-34.8156,-23.5598,-0.626887,-1.72413,11,-1,8.67266,0.15529,2.86168,-8.18545,-1.77195,1.51658,-11,1,8.08957,-0.0436843,2.65275,-7.64213,-1.77995,1.58726
1,52626941,11,-1,50.9921,-39.9332,-31.7102,-0.0537626,-0.00105433,-2.47047,-11,1,54.1256,26.4149,9.54248,46.2685,1.27384,0.346665,-11,1,11.6401,7.62914,8.75596,0.78804,0.0678042,0.854061,11,-1,3.44631,2.08493,-1.90862,1.97162,0.650632,-0.741276
1,18961310,-13,1,189.33,-24.0254,56.8908,-178.975,-1.78572,1.97038,13,-1,22.5718,-2.92285,-21.0523,-7.59827,-0.350287,-1.70875,13,-1,12.8559,2.22032,0.526869,12.6514,2.41391,0.232985,-11,1,17.6256,15.7905,-3.30024,7.10146,0.427113,-0.206036
