Run,Event,PID1,Q1,E1,px1,py1,pz1,eta1,phi1,PID2,Q2,E2,px2,py2,pz2,eta2,phi2,PID3,Q3,E3,px3,py3,pz3,eta3,phi3,PID4,Q4,E4,px4,py4,pz4,eta4,phi4
1,144808,-13,1,42.6032,38.7788,13.6397,11.1886,0.268924,0.338215,13,-1,24.8966,-6.74233,-23.7981,-2.83235,-0.11426,-1.84688,11,-1,304.016,-218.581,48.9884,-205.544,-0.821886,2.92112,11,-1,97.9511,-46.447,28.53,81.3826,1.19087,2.59076
1,445849,13,-1,13.315,4.62072,9.43659,8.17794,0.71565,1.11545,11,-1,185.375,21.345,-58.4188,-174.629,-1.75582,-1.22049,-11,1,8.92964,1.60556,7.87544,3.89078,0.466929,1.36968,-11,1,7.47704,-0.0307941,-6.05322,4.38904,0.673081,-1.57588
1,10520,-13,1,62.8011,43.6054,22.7645,39.0425,0.727747,0.481137,11,-1,262.422,-68.0775,-7.37678,253.331,2.01914,-3.03366,11,-1,46.7522,-6.9605,-5.15393,45.943,2.3705,-2.50423,-11,1,12.3337,-1.719,-2.48241,11.9583,2.08506,-2.17645
1,363635,13,-1,12.426,-12.3634,1.10595,-0.563874,-0.0454113,3.05238,-11,1,256.658,-43.1045,-75.961,-241.341,-1.7408,-2.08694,-11,1,238.961,35.7977,-38.172,-233.161,-2.19964,-0.817486,-11,1,86.4968,6.07062,51.7495,69.0423,1.09365,1.45402
1,310845,13,-1,53.8781,1.49396,46.0717,27.8927,0.573195,1.53838,13,-1,18.3238,-6.62381,-2.02196,16.9643,1.62832,-2.84532,-11,1,194.658,60.914,-44.3745,-179.477,-1.6023,-0.629584,-11,1,42.7204,-15.9983,-4.48679,39.3568,1.59732,-2.86816
1,165340,-13,1,119.935,-24.4337,67.9782,95.7417,1.09384,1.91585,11,-1,86.1787,-71.7013,-20.2264,43.3195,0.552873,-2.86664,11,-1,45.0278,1.47853,-38.6622,23.0337,0.564819,-1.53257,-11,1,22.3798,11.389,-10.9187,15.8722,0.885612,-0.76432
1,269767,11,-1,182.466,-90.9159,62.5517,145.311,1.08862,2.53895,11,-1,82.007,-39.638,48.0339,53.3546,0.776357,2.26072,-11,1,19.2174,-6.94077,12.2045,-13.1219,-0.834363,2.08789,11,-1,19.4424,-3.717,-3.33703,-18.7897,-2.0352,-2.41001
1,355878,11,-1,44.529,13.7284,-40.8229,11.3073,0.25961,-1.24639,-11,1,54.1915,38.9026,17.137,33.6101,0.725345,0.414934,11,-1,40.3029,2.6974,-12.9714,38.0629,1.77747,-1.36577,-11,1,11.4313,1.65915,-3.95926,10.5946,1.63527,-1.17397
1,44821,-13,1,109.179,72.8553,-59.6792,-55.2328,-0.55719,-0.686307,-13,1,88.7236,-18.5807,-9.56657,86.227,2.12481,-2.66612,13,-1,16.2318,-15.8748,-1.9486,-2.76657,-0.172125,-3.01946,11,-1,120.892,57.4711,84.9911,-63.9408,-0.588629,0.976222
1,111983,13,-1,60.854,5.56679,45.2548,40.3016,0.796842,1.4484,-11,1,73.3494,29.8554,-3.21221,66.9214,1.54145,-0.10718,-11,1,27.7078,0.441574,-10.5087,-25.6339,-1.62363,-1.5288,11,-1,6.58129,-0.338886,-3.06848,-5.81231,-1.38994,-1.68079
1,260345,-13,1,41.4097,11.9284,1.14481,39.6378,1.91152,0.0956801,-13,1,6.89931,0.678571,4.29332,-5.35688,-1.03657,1.41404,11,-1,49.7499,11.4355,9.6491,-47.4465,-1.87119,0.700876,11,-1,21.7698,9.10367,11.1499,16.3318,0.973423,0.886086
1,492494,-13,1,101.953,21.1863,24.3761,96.7023,1.81662,0.855294,13,-1,72.1969,-23.3261,2.52947,68.2779,1.78961,3.03358,13,-1,65.1452,-19.0686,-9.30476,61.593,1.78729,-2.68762,-11,1,62.1282,-19.5468,-7.79004,58.4564,1.74583,-2.76235
