Run,Event,PID1,Q1,E1,px1,py1,pz1,eta1,phi1,PID2,Q2,E2,px2,py2,pz2,eta2,phi2,PID3,Q3,E3,px3,py3,pz3,eta3,phi3,PID4,Q4,E4,px4,py4,pz4,eta4,phi4
193998,105129118,13,-1,20.9563,-18.3877,1.4009,-9.95426,-0.516516,3.06555,-13,1,21.6005,8.59766,-6.8953,18.577,1.29349,-0.675958,11,-1,5.35466,4.1215,2.77875,1.99102,0.390544,0.593204,-11,1,3.85811,3.02523,1.90808,1.44644,0.394122,0.562703
193998,265313350,-13,1,24.2941,22.838,4.06868,-7.21567,-0.306243,0.176304,13,-1,7.53724,7.03443,1.43947,-2.28985,-0.31374,0.201846,-11,1,59.3121,13.0317,-47.5213,-33.0125,-0.627879,-1.30315,11,-1,41.771,-25.132,15.6893,-29.4456,-0.877033,2.58351
193998,45781635,13,-1,100.921,37.9288,-1.10326,93.5158,1.63397,-0.0290794,-13,1,38.7062,-17.3913,9.54789,33.2346,1.28815,2.63951,-13,1,39.5428,-19.554,-0.724217,34.3618,1.32891,-3.10457,13,-1,16.7712,-8.70548,-0.312269,14.331,1.27267,-3.10574
194027,35620208,13,-1,55.2896,-35.9672,8.41628,-41.1394,-0.959544,2.91173,-13,1,61.646,28.9035,-13.8074,-52.6704,-1.27223,-0.445654,13,-1,13.6988,5.79421,-3.69765,-11.8491,-1.31286,-0.568009,-13,1,13.8999,4.52778,-1.38455,-13.0682,-1.73971,-0.296761
194027,65059010,13,-1,100.639,26.9328,-48.6187,-83.8991,-1.20003,-1.06492,-13,1,24.6255,-12.4035,19.2987,8.95086,0.380892,2.14203,-13,1,13.3442,-9.68775,-4.5899,-7.9459,-0.686107,-2.69914,13,-1,10.0326,-6.9671,-4.24046,-5.84122,-0.66587,-2.59484
194027,66522801,11,-1,240.087,12.9701,47.948,234.892,2.25784,1.30661,-11,1,13.7218,-0.575555,-13.4753,-2.52471,-0.186112,-1.61348,-11,1,12.0245,-7.54978,-9.34055,0.585847,0.0487598,-2.25057,11,-1,6.20608,-2.07058,-5.44086,-2.15064,-0.361503,-1.93443
194050,1001640663,13,-1,75.0855,-11.3394,63.0834,39.1117,0.577569,1.74865,-13,1,32.1374,6.17337,-27.8767,14.7506,0.496029,-1.35286,-11,1,12.2047,-1.86264,10.5811,5.79025,0.515768,1.74505,11,-1,2.33377,-0.372347,2.09189,0.965328,0.439987,1.74695
194050,1062676364,-13,1,29.0414,6.98728,14.84,-23.9655,-1.17297,1.13075,13,-1,22.4829,5.61635,11.5061,-18.4807,-1.16295,1.1167,13,-1,46.3864,-3.77491,-8.67677,45.4109,2.27226,-1.98116,-13,1,7.38877,-1.23849,-2.3383,6.89792,1.68621,-2.05788
194050,1143529380,-13,1,43.6085,-26.8597,-33.3148,8.38849,0.194787,-2.24933,13,-1,26.8997,1.42994,11.4858,-24.282,-1.48658,1.44694,11,-1,18.1474,8.6904,4.58595,-15.2569,-1.22363,0.485564,-11,1,14.4665,5.23407,2.00342,-13.3368,-1.60161,0.365561
194050,1388114870,-13,1,144.533,25.3367,26.5226,139.801,2.04793,0.808262,-13,1,31.8096,-12.608,-15.7851,24.5705,1.02632,-2.24476,13,-1,23.1031,-9.86139,-11.0655,17.7214,1.01316,-2.29872,13,-1,13.6538,-5.57065,-6.97657,10.33,0.988197,-2.24461
